movement_id,sku_id,warehouse_id,warehouse_city,region,movement_type,supplier_id,customer_id,movement_date,expected_date,quantity,unit_cost,stock_before,stock_after,status
MOV003841,SKU_0083,WH_02,Mumbai,West,Outbound,,CUST_088,2026-06-11,2026-06-13,132,1822.35,651,519,Completed
MOV001219,SKU_0042,WH_03,Delhi,North,Inbound,SUP_07,,2026-06-02,2026-06-03,235,809.68,2347,2582,Completed
MOV001576,SKU_0295,WH_01,Bengaluru,South,Adjustment,,,2026-05-19,2026-05-20,93,116.09,4892,4799,Completed
MOV000361,SKU_0141,WH_04,Kolkata,East,Inbound,SUP_02,,2026-03-07,2026-03-09,203,847.44,1419,,Completed
MOV000378,SKU_0130,WH_05,Hyderabad,South,Transfer,,,2026-02-08,2026-02-10,496,1886.93,3340,2844,Completed
MOV002064,SKU_0088,WH_04,Kolkata,East,Transfer,,,2026-02-22,2026-02-22,445,431.09,1031,,Completed
MOV000785,SKU_0242,WH_01,Bengaluru,South,Adjustment,,,2026-04-25,2026-04-26,357,545.93,1567,1924,Completed
MOV001748,SKU_0102,WH_02,Mumbai,West,Outbound,,CUST_037,2026-03-06,2026-03-08,397,1641.56,3798,3401,Completed
MOV003395,SKU_0209,WH_04,Kolkata,East,Transfer,,,2026-01-08,2026-01-10,173,1422.78,3419,,Completed
MOV000816,SKU_0272,WH_06,Pune,West,Outbound,,CUST_094,2026-06-13,2026-06-14,2,1526.85,4712,4710,Completed
MOV003825,SKU_0228,WH_05,Hyderabad,South,Transfer,,,2026-04-04,2026-04-06,353,1074.61,1874,1521,Completed
MOV004435,SKU_0036,WH_01,Bengaluru,South,Return,,,2026-04-24,2026-04-26,69,644.3,4331,4400,Completed
MOV003628,SKU_0136,WH_06,Pune,West,Inbound,SUP_02,,2026-06-30,2026-07-03,62,1631.93,3683,3745,Completed
MOV002817,SKU_0195,WH_05,Hyderabad,South,Inbound,SUP_01,,2026-02-09,2026-02-12,490,204.37,3754,4244,Pending
MOV003084,SKU_0275,WH_05,Hyderabad,South,Return,,,2026-05-12,2026-05-13,426,1276.88,4534,4960,Completed
MOV003483,SKU_0053,WH_01,Bengaluru,South,Transfer,,,2026-02-06,2026-02-09,310,221.41,2698,2388,Completed
MOV001858,SKU_0088,WH_01,Bengaluru,South,Transfer,,,2026-06-26,2026-06-28,9,1693.05,3900,3891,Discrepancy
MOV000187,SKU_0061,WH_04,Kolkata,East,Outbound,,CUST_074,2026-02-08,2026-02-11,436,1578.19,4975,4539,Completed
MOV004448,SKU_0225,WH_02,Mumbai,West,Inbound,SUP_04,,2026-02-03,2026-02-03,112,1769.62,315,427,Completed
MOV001882,SKU_0054,WH_05,Hyderabad,South,Outbound,,CUST_072,2026-03-14,2026-03-17,265,461.31,2687,2422,Completed
MOV000866,SKU_0177,WH_01,Bengaluru,South,Inbound,SUP_02,,2026-06-09,2026-06-11,278,742.75,3644,3922,Completed
MOV002909,SKU_0238,WH_06,Pune,West,Inbound,SUP_12,,2026-02-07,2026-02-08,449,990.74,408,,Cancelled
MOV001038,SKU_0097,WH_01,Bengaluru,South,Outbound,,CUST_092,2026-05-06,2026-05-07,193,1687.87,2290,2097,Completed
MOV002267,SKU_0134,WH_05,Hyderabad,South,Return,,,2026-03-03,2026-03-06,443,1258.76,1878,2321,Completed
MOV002182,SKU_0256,WH_01,Bengaluru,South,Inbound,SUP_11,,2026-02-10,2026-02-12,336,257.58,2845,3181,Completed
MOV003900,SKU_0216,WH_06,Pune,West,Inbound,SUP_07,,2026-02-03,2026-02-05,10,117.52,2999,3009,Completed
MOV002976,SKU_0182,WH_05,Hyderabad,South,Adjustment,,,2026-03-04,2026-03-06,110,202.67,2522,2412,Completed
MOV000643,SKU_0255,WH_02,Mumbai,West,Transfer,,,2026-05-14,2026-05-14,393,444.87,3386,2993,Completed
MOV001419,SKU_0147,WH_04,Kolkata,East,Transfer,,,2026-05-24,2026-05-25,301,1817.46,653,,Completed
MOV000763,SKU_0265,WH_02,Mumbai,West,Transfer,,,2026-04-10,2026-04-13,86,1838.25,4991,4905,Completed
MOV003639,SKU_0283,WH_06,Pune,West,Outbound,,CUST_062,2026-02-20,2026-02-23,267,240.18,3080,2813,Discrepancy
MOV001410,SKU_0005,WH_05,Hyderabad,South,Outbound,,CUST_017,2026-02-09,2026-02-10,187,715.04,1270,1083,Discrepancy
MOV002928,SKU_0296,WH_01,Bengaluru,South,Adjustment,,,2026-06-13,2026-06-16,498,1082.72,4356,3858,Completed
MOV003475,SKU_0085,WH_06,Pune,West,Return,,,2026-03-12,2026-03-14,500,1987.68,2935,3435,Completed
MOV000392,SKU_0240,WH_02,Mumbai,West,Outbound,,CUST_085,2026-05-01,2026-05-04,71,75.64,4771,4700,Completed
MOV001137,SKU_0239,WH_03,Delhi,North,Transfer,,,2026-04-18,2026-04-18,302,367.82,3375,3073,Completed
MOV004864,SKU_0002,WH_05,Hyderabad,South,Inbound,SUP_08,,2026-04-27,2026-04-28,63,1176.84,2796,2859,Completed
MOV003519,SKU_0181,WH_05,Hyderabad,South,Outbound,,CUST_026,2026-03-18,2026-03-18,354,251.04,845,491,Completed
MOV003575,SKU_0270,WH_04,Kolkata,East,Outbound,,CUST_095,,2026-03-06,448,805.98,504,,Completed
MOV001684,SKU_0122,WH_05,Hyderabad,South,Adjustment,,,2026-04-04,2026-04-05,280,1120.5,1666,1386,Completed
MOV002980,SKU_0140,WH_02,Mumbai,West,Adjustment,,,2026-04-28,2026-04-29,339,1020.21,2798,3137,Pending
MOV001428,SKU_0111,WH_06,Pune,West,Outbound,,CUST_036,2026-03-01,2026-03-04,360,1849.85,2189,1829,Completed
MOV004458,SKU_0149,WH_05,Hyderabad,South,Outbound,,CUST_014,2026-03-13,2026-03-15,257,886.03,362,,Cancelled
MOV000052,SKU_0025,WH_03,Delhi,North,Inbound,SUP_11,,2026-03-15,2026-03-16,128,1943.53,3573,3701,Completed
MOV002016,SKU_0258,WH_05,Hyderabad,South,Outbound,,CUST_074,2026-04-12,2026-04-12,441,1297.82,2624,2183,Pending
MOV000385,SKU_0224,WH_03,Delhi,North,Inbound,SUP_08,,2026-06-27,2026-06-27,347,1368.13,1318,1665,Completed
MOV002483,SKU_0238,WH_01,Bengaluru,South,Inbound,SUP_01,,2026-02-02,2026-02-02,321,712.83,4756,5077,Completed
MOV001482,SKU_0219,WH_01,Bengaluru,South,Inbound,SUP_07,,2026-05-20,2026-05-23,221,1094.58,2654,2875,Completed
MOV003969,SKU_0175,WH_03,Delhi,North,Outbound,,CUST_045,2026-02-20,2026-02-21,402,856.51,967,,Cancelled
MOV000550,SKU_0206,WH_01,Bengaluru,South,Inbound,SUP_08,,2026-06-19,2026-06-19,448,1889.72,3683,4131,Completed
MOV004885,SKU_0156,WH_04,Kolkata,East,Adjustment,,,2026-03-03,2026-03-03,133,670.53,749,,Completed
MOV003317,SKU_0289,WH_06,Pune,West,Outbound,,CUST_085,2026-01-04,2026-01-07,343,800.58,987,644,Discrepancy
MOV003736,SKU_0089,WH_03,Delhi,North,Transfer,,,2026-04-04,2026-04-04,250,1772.08,1478,,Cancelled
MOV004604,SKU_0043,WH_06,Pune,West,Outbound,,CUST_099,2026-05-20,2026-05-23,241,846.83,4024,3783,Completed
MOV002732,SKU_0291,WH_02,Mumbai,West,Inbound,SUP_11,,2026-06-18,2026-06-19,163,1056.45,3596,3759,Completed
MOV002726,SKU_0154,WH_01,Bengaluru,South,Transfer,,,2026-02-03,,5,1472.21,1487,1482,Completed
MOV001720,SKU_0239,WH_01,Bengaluru,South,Outbound,,CUST_093,2026-05-19,2026-05-19,119,1202.38,3774,3655,Completed
MOV000900,SKU_0088,WH_02,Mumbai,West,Transfer,,,2026-02-13,2026-02-16,473,934.21,1679,1206,Completed
MOV001200,SKU_0045,WH_02,Mumbai,West,Adjustment,,,2026-04-19,2026-04-21,89,1701.09,2411,2500,Completed
MOV004118,SKU_0292,WH_03,Delhi,North,Inbound,SUP_07,,2026-06-27,2026-06-28,53,440.32,3875,3928,Completed
MOV000946,SKU_0045,WH_03,Delhi,North,Transfer,,,2026-05-10,2026-05-13,203,1578.68,1885,1682,Discrepancy
MOV000640,SKU_0058,WH_06,Pune,West,Outbound,,CUST_012,2026-01-31,2026-02-02,7,809.44,4352,4345,Pending
MOV000267,SKU_0038,WH_03,Delhi,North,Transfer,,,2026-01-04,2026-01-06,138,184.4,353,215,Completed
MOV004821,SKU_0041,WH_03,Delhi,North,Return,,,2026-02-24,2026-02-26,468,665.8,3569,4037,Completed
MOV000659,SKU_0241,WH_02,Mumbai,West,Outbound,,CUST_040,2026-03-18,2026-03-18,251,993.81,578,,Cancelled
MOV004138,SKU_0124,WH_02,Mumbai,West,Return,,,2026-04-02,2026-04-04,84,1554.56,3612,3696,Completed
MOV001651,SKU_0197,WH_03,Delhi,North,Adjustment,,,2026-01-17,2026-01-20,29,1909.67,3965,3994,Completed
MOV003793,SKU_0167,WH_01,Bengaluru,South,Inbound,SUP_10,,2026-04-21,2026-04-22,233,803.83,1748,1981,Discrepancy
MOV001519,SKU_0228,WH_03,Delhi,North,Adjustment,,,2026-06-10,2026-06-10,477,397.97,3065,2588,Completed
MOV001852,SKU_0100,WH_03,Delhi,North,Outbound,,CUST_047,2026-05-10,2026-05-11,346,1343.65,2876,2530,Completed
MOV002779,SKU_0127,WH_04,Kolkata,East,Return,,,2026-05-17,2026-05-17,106,1203.65,4195,,Completed
MOV004889,SKU_0241,WH_04,Kolkata,East,Inbound,SUP_08,,2026-04-05,2026-04-05,258,1622.81,2604,,Completed
MOV000688,SKU_0277,WH_02,Mumbai,West,Inbound,SUP_05,,2026-05-04,2026-05-06,337,788.87,2223,2560,Completed
MOV004237,SKU_0022,WH_03,Delhi,North,Adjustment,,,2026-06-17,2026-06-19,474,1103.35,3628,4102,Completed
MOV000784,SKU_0026,WH_04,Kolkata,East,Outbound,,CUST_024,2026-02-01,2026-02-04,125,867.92,4710,,Completed
MOV002336,SKU_0001,WH_04,Kolkata,East,Outbound,,CUST_086,2026-06-16,2026-06-16,331,215.09,3111,,Completed
MOV001711,SKU_0291,WH_01,Bengaluru,South,Outbound,,CUST_027,2026-02-19,2026-02-19,156,892.37,1413,1257,Discrepancy
MOV003083,SKU_0090,WH_03,Delhi,North,Outbound,,CUST_015,2026-02-24,2026-02-25,55,966.23,1166,1111,Completed
MOV001430,SKU_0211,WH_03,Delhi,North,Inbound,SUP_09,,2026-06-01,2026-06-03,172,9160.32,1135,1307,Completed
MOV004810,SKU_0156,WH_01,Bengaluru,South,Outbound,,CUST_014,2026-05-04,2026-05-05,358,1472.37,434,76,Pending
MOV002301,SKU_0100,WH_03,Delhi,North,Outbound,,CUST_005,2026-06-18,2026-06-21,408,1905.6,4503,4095,Completed
MOV003240,SKU_0151,WH_04,Kolkata,East,Inbound,SUP_06,,2026-06-30,2026-07-02,259,1490.91,3817,,Pending
MOV001307,SKU_0196,WH_04,Kolkata,East,Transfer,,,2026-05-16,2026-05-16,215,1665.32,56,,Cancelled
MOV000708,SKU_0192,WH_03,Delhi,North,Outbound,,CUST_080,2026-03-22,2026-03-25,71,878.38,1193,1122,Completed
MOV004323,SKU_0201,WH_06,Pune,West,Inbound,SUP_09,,2026-01-04,2026-01-04,86,8617.34,3109,3195,Completed
MOV002051,SKU_0206,WH_01,Bengaluru,South,Outbound,,CUST_063,2026-02-09,2026-02-09,376,86.63,1245,869,Pending
MOV002738,SKU_0265,WH_04,Kolkata,East,Inbound,SUP_05,,2026-05-19,2026-05-19,311,618.79,4119,,Completed
MOV002332,SKU_0281,WH_05,Hyderabad,South,Inbound,SUP_01,,2026-05-09,2026-05-09,365,494.34,2574,2939,Completed
MOV004960,SKU_0203,WH_04,Kolkata,East,Adjustment,,,2026-01-21,2026-01-24,27,1106.08,1234,,Completed
MOV002358,SKU_0222,WH_04,Kolkata,East,Outbound,,CUST_057,2026-03-16,2026-03-17,269,569.3,4258,3989,Completed
MOV004039,SKU_0043,WH_06,Pune,West,Inbound,SUP_06,,2026-02-22,2026-02-24,35,557.26,1599,1634,Pending
MOV002651,SKU_0187,WH_04,Kolkata,East,Outbound,,CUST_072,2026-05-02,2026-05-04,282,1414.71,1154,,Completed
MOV004781,SKU_0188,WH_02,Mumbai,West,Inbound,SUP_04,,2026-02-21,2026-02-24,121,404.08,3216,3337,Completed
MOV004352,SKU_0135,WH_01,Bengaluru,South,Outbound,,CUST_019,2026-06-13,2026-06-13,75,1591.26,1728,,Cancelled
MOV001118,SKU_0025,WH_05,Hyderabad,South,Return,,,2026-02-17,2026-02-19,66,1995.18,2101,2167,Pending
MOV003194,SKU_0293,WH_05,Hyderabad,South,Outbound,,CUST_078,2026-04-09,2026-04-09,353,1203.88,4304,3951,Completed
MOV002522,SKU_0205,WH_02,Mumbai,West,Transfer,,,2026-06-07,2026-06-10,433,1084.63,1681,1248,Completed
MOV004050,SKU_0006,WH_05,Hyderabad,South,Inbound,SUP_07,,2026-05-19,2026-05-21,281,1217.82,2115,2396,Completed
MOV001513,SKU_0131,WH_02,Mumbai,West,Outbound,,CUST_085,2026-03-13,2026-03-16,294,1248.23,1601,1307,Completed
MOV000028,SKU_0074,WH_03,Delhi,North,Return,,,2026-04-30,2026-05-01,383,1907.38,3262,,Cancelled
MOV000698,SKU_0281,WH_04,Kolkata,East,Return,,,2026-06-11,2026-06-12,445,709.82,2665,,Completed
MOV003722,SKU_0030,WH_03,Delhi,North,Outbound,,CUST_004,2026-05-26,2026-05-29,68,1591.26,2589,2521,Completed
MOV004234,SKU_0057,WH_06,Pune,West,Outbound,,CUST_002,2026-01-21,2026-01-24,409,405.59,349,-60,Completed
MOV002251,SKU_0073,WH_05,Hyderabad,South,Transfer,,,2026-06-17,2026-06-17,71,531.91,153,82,Discrepancy
MOV004551,SKU_0061,WH_05,Hyderabad,South,Inbound,SUP_08,,2026-03-20,2026-03-20,111,1976.45,487,598,Completed
MOV002702,SKU_0056,WH_01,Bengaluru,South,Outbound,,CUST_027,,2026-06-22,65,146.78,2809,2744,Completed
MOV003096,SKU_0099,WH_01,Bengaluru,South,Adjustment,,,2026-02-15,2026-02-15,105,397.07,1176,1071,Completed
MOV004958,SKU_0165,WH_02,Mumbai,West,Outbound,,CUST_096,2026-03-22,2026-03-22,282,1156.2,1141,859,Pending
MOV000376,SKU_0080,WH_05,Hyderabad,South,Return,,,2026-06-05,2026-06-08,244,1145.65,3166,3410,Completed
MOV004714,SKU_0177,WH_06,Pune,West,Inbound,SUP_08,,2026-05-27,2026-05-28,151,71.74,1261,1412,Completed
MOV001718,SKU_0202,WH_05,Hyderabad,South,Outbound,,CUST_031,2026-05-07,2026-05-07,3,148.42,2695,2692,Pending
MOV002001,SKU_0209,WH_04,Kolkata,East,Outbound,,CUST_018,2026-01-18,2026-01-18,170,745.91,1125,,Completed
MOV003327,SKU_0165,WH_01,Bengaluru,South,Transfer,,,2026-01-02,2026-01-04,429,1752.74,1034,605,Completed
MOV001025,SKU_0272,WH_06,Pune,West,Transfer,,,2026-02-22,2026-02-23,203,1297.92,2034,1831,Completed
MOV004851,SKU_0228,WH_03,Delhi,North,Outbound,,CUST_088,2026-05-26,2026-05-29,160,698.91,3628,3468,Completed
MOV004957,SKU_0030,WH_02,Mumbai,West,Transfer,,,2026-01-21,2026-01-23,288,1221.44,801,513,Completed
MOV002964,SKU_0185,WH_02,Mumbai,West,Outbound,,CUST_016,2026-02-04,2026-02-06,424,437.27,798,374,Completed
MOV000058,SKU_0111,WH_01,Bengaluru,South,Inbound,SUP_04,,2026-04-09,2026-04-12,331,919.42,2556,2887,Pending
MOV003726,SKU_0057,WH_02,Mumbai,West,Inbound,SUP_02,,2026-06-20,2026-06-22,170,1089.05,158,328,Completed
MOV002991,SKU_0010,WH_06,Pune,West,Inbound,SUP_09,,2026-03-12,2026-03-12,232,6551.54,1152,1384,Pending
MOV003676,SKU_0215,WH_06,Pune,West,Inbound,SUP_06,,2026-04-09,2026-04-11,324,1003.18,1064,1388,Discrepancy
MOV004067,SKU_0146,WH_03,Delhi,North,Inbound,SUP_08,,2026-04-20,2026-04-21,15,1528.92,4401,4416,Completed
MOV003601,SKU_0200,WH_02,Mumbai,West,Outbound,,CUST_014,2026-05-13,2026-05-16,37,1536.73,1064,1027,Completed
MOV001532,SKU_0181,WH_06,Pune,West,Return,,,2026-06-19,2026-06-21,267,389.26,3106,3373,Completed
MOV002826,SKU_0246,WH_05,Hyderabad,South,Outbound,,CUST_069,2026-05-30,2026-05-31,218,1744.64,4786,4568,Completed
MOV002041,SKU_0158,WH_02,Mumbai,West,Inbound,SUP_09,,2026-06-10,2026-06-13,234,13842.35,2913,3147,Completed
MOV004000,SKU_0276,WH_05,Hyderabad,South,Outbound,,CUST_043,2026-02-21,2026-02-23,184,1568.73,1656,1472,Discrepancy
MOV003244,SKU_0188,WH_04,Kolkata,East,Inbound,SUP_10,,2026-06-19,2026-06-19,428,588.94,2877,3305,Completed
MOV002768,SKU_0248,WH_01,Bengaluru,South,Return,,,2026-02-24,2026-02-26,143,444.09,4572,4715,Completed
MOV003267,SKU_0178,WH_05,Hyderabad,South,Outbound,,CUST_040,2026-03-29,2026-04-01,271,1066.1,4448,4177,Completed
MOV003605,SKU_0042,WH_02,Mumbai,West,Return,,,2026-06-09,2026-06-09,428,728.21,2031,-15,Discrepancy
MOV004096,SKU_0107,WH_02,Mumbai,West,Return,,,2026-06-15,2026-06-15,112,73.48,1003,1115,Discrepancy
MOV004462,SKU_0249,WH_03,Delhi,North,Inbound,SUP_01,,2026-06-12,2026-06-12,2,1855.02,3487,3489,Completed
MOV001750,SKU_0260,WH_05,Hyderabad,South,Adjustment,,,2026-01-26,2026-01-28,19,1897.82,3367,3348,Completed
MOV002922,SKU_0171,WH_02,Mumbai,West,Inbound,SUP_11,,2026-03-08,2026-03-10,442,688.77,349,791,Completed
MOV002973,SKU_0206,WH_03,Delhi,North,Return,,,2026-06-08,2026-06-11,384,1019.77,4152,4536,Completed
MOV004547,SKU_0139,WH_01,Bengaluru,South,Outbound,,CUST_035,2026-02-18,2026-02-20,498,1699.09,1812,1314,Completed
MOV004327,SKU_0174,WH_01,Bengaluru,South,Outbound,,CUST_032,2026-05-05,2026-05-07,348,364.76,750,402,Completed
MOV002327,SKU_0076,WH_02,Mumbai,West,Adjustment,,,2026-04-01,2026-04-03,485,1003.84,3925,4410,Completed
MOV002191,SKU_0079,WH_01,Bengaluru,South,Outbound,,CUST_087,2026-04-24,2026-04-27,152,265.58,2990,2838,Discrepancy
MOV002368,SKU_0096,WH_05,Hyderabad,South,Outbound,,CUST_008,2026-05-28,2026-05-31,387,1892.97,2335,1948,Discrepancy
MOV000512,SKU_0195,WH_02,Mumbai,West,Outbound,,CUST_083,2026-04-07,2026-04-10,266,1522.86,2283,2017,Pending
